название,фото,цена,краткая информация
ToyotaCamry,https://im.mashina.kg/tachka/images//6/4/0/64087f98351a3fd4a443f2acc6988731_240x180.jpg,"$8500

720800сом","2003 г., 2.4 л., автомат
седан, бензин
руль слева, 250 000 км
Кара-К"
ToyotaCamry,https://im.mashina.kg/tachka/images//5/c/5/5c5ab757e686bf73bf36d16cc82c00dd_240x180.jpg,"$9300

788640сом","2007 г., 2.4 л., автомат
седан, бензин
руль слева, 190 000 км
Ош
   "
ToyotaMatrix,https://im.mashina.kg/tachka/images//1/f/e/1fe757fed552b69372aa37fc397248ae_240x180.jpg,"$5000

424000сом","2002 г., 1.8 л., автомат
минивэн, бензин
руль слева, 240 358 км
Ош
   "
Toyota4Runner,https://im.mashina.kg/tachka/images//f/7/4/f74f88a22570f69c18bab7cc231b557d_240x180.jpg,"$13950

1182960сом","2003 г., 4 л., автомат
внедорожник 5 дв., бензин
руль слева, 197 000 км
Ош
   "
ToyotaCorolla,https://t1-client.toyota-europe.com/images/toyota-logo.jpg,"$400000

33920000сом","2004 г., 1.6 л., механика
седан, бензин
руль слева, 300 000 км
Ош
   "
ToyotaCorolla,https://t1-client.toyota-europe.com/images/toyota-logo.jpg,"$4127

350000сом","2001 г., 2.2 л., автомат
седан, дизель
руль справа, 430 000 км
Узген
"
ToyotaHighlander,https://im.mashina.kg/tachka/images//3/9/6/39674f9c6f48ff9e1e1894674a141dc7_240x180.jpg,"$23500

1992800сом","2011 г., 3.5 л., автомат
внедорожник 5 дв., бензин
руль слева, 193 000 км
Ош
   "
ToyotaWish,https://im.mashina.kg/tachka/images//c/7/f/c7f30ee024182c7d36b3191395035793_240x180.jpg,"$7075

600000сом","2003 г., 1.8 л., автомат
минивэн, бензин
руль справа
Ош
   "
ToyotaWindom,https://im.mashina.kg/tachka/images//a/1/f/a1f90131b2f82083543b1180422c0879_240x180.jpg,"$9800

831040сом","2005 г., 3 л., автомат
седан, бензин
руль справа, 120 000 км
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//c/e/3/ce36a268cd38ad123314552b78141a07_240x180.jpg,"$16000

1356800сом","2015 г., 2.5 л., автомат
седан, бензин
руль слева, 66 000 км
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//4/6/c/46c324cadfb4c6ab16b0136d801c7954_240x180.jpg,"$11500

975200сом","2010 г., 2.5 л., автомат
седан, бензин
руль слева, 155 502 км
Ош
   "
ToyotaAygo,https://im.mashina.kg/tachka/images//e/7/e/e7e26e52b0bee14451950a8d20401c9b_240x180.jpg,"$3538

300000сом","2006 г., 1 л., механика
хэтчбек 5 дв., бензин
руль слева, 270 000 км
Ош
   "
ToyotaAlphard,https://im.mashina.kg/tachka/images//1/4/1/141a1281900e0f7c5ba539a97e889c79_240x180.jpg,"$9500

805600сом","2006 г., 3 л., автомат
минивэн, бензин
руль справа, 150 000 км
Ош
   "
ToyotaEstima,https://im.mashina.kg/tachka/images//6/5/6/656ed4a6c4ece6768abf753800ab38d8_240x180.jpg,"$3302

280000сом","1998 г., 2.4 л., автомат
минивэн, бензин
руль справа, 520 890 км
Ош
   "
ToyotaHiluxSurf,https://im.mashina.kg/tachka/images//3/b/4/3b4a04f78048901ac6f61eac262faa94_240x180.jpg,"$7500

636000сом","1999 г., 2.7 л., автомат
внедорожник 5 дв., бензин
руль справа, 288 000 км
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//5/3/e/53e31508f1dfc3316c3f0337331345ee_240x180.jpg,"$7600

644480сом","2001 г., 2.4 л., автомат
седан, бензин
руль слева, 290 555 км
Ош
   "
ToyotaCrown,https://im.mashina.kg/tachka/images//d/1/0/d107c718a3409b7dbe1c5187010414ca_240x180.jpg,"$5700

483360сом","2001 г., 2.5 л., автомат
седан, бензин
руль справа
Ош
   "
ToyotaYaris,https://im.mashina.kg/tachka/images//8/6/7/867d77ab125bbc4e9ab728e1d922ded8_240x180.jpg,"$4800

407040сом","2008 г., 1.3 л., механика
хэтчбек 5 дв., бензин
руль слева
Ош
   "
ToyotaAvalon,https://im.mashina.kg/tachka/images//f/8/e/f8ef5ff28bb3c34982b87754c63e7e8d_240x180.jpg,"$17900

1517920сом","2015 г., 2.5 л., вариатор
седан, гибрид
руль слева, 115 000 км
Ош
   "
ToyotaEstima,https://im.mashina.kg/tachka/images//5/6/4/564b2976c0161a24c4ec22d02f1ad6aa_240x180.jpg,"$8500

720800сом","2002 г., 3 л., автомат
минивэн, бензин
руль справа
Ош
   "
ToyotaCorolla,https://im.mashina.kg/tachka/images//c/0/0/c002e08f2c471651743f61968362386d_240x180.jpg,"$4127

350000сом","2002 г., 1.6 л., механика
седан, бензин
руль слева, 348 000 км
Ош
   "
ToyotaAvensis,https://im.mashina.kg/tachka/images//2/e/b/2ebb2063799982d1b687e798b7476b01_240x180.jpg,"$3800

322240сом","2002 г., 1.8 л., механика
седан, бензин
руль слева, 225 000 км
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//d/5/8/d58d88bba84e888f2e2b1b238f4c0c2f_240x180.jpg,"$8000

678400сом","2004 г., 2.4 л., автомат
седан, бензин
руль слева
Ош
   "
ToyotaLandCruiser,https://im.mashina.kg/tachka/images//3/f/6/3f693738a783fcf9dc4056237e5eda60_240x180.jpg,"$12200

1034560сом","2002 г., 4.5 л., автомат
внедорожник 5 дв., бензин
руль слева, 256 000 км
Ош
   "
ToyotaIst,https://im.mashina.kg/tachka/images//5/6/b/56b247f13c893d074d4fdce914f89a25_240x180.jpg,"$5483

465000сом","2002 г., 1.5 л., автомат
хэтчбек 5 дв., бензин
руль справа
Ноокат"
ToyotaCamry,https://im.mashina.kg/tachka/images//a/f/d/afd7160625b1f135abf9a20c824e8ac3_240x180.jpg,"$11500

975200сом","2013 г., 2.5 л., автомат
седан, бензин
руль слева
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//f/5/e/f5ec6c47e1fd56dfa89879e2ab1e64f9_240x180.jpg,"$13900

1178720сом","2015 г., 2.5 л., автомат
седан, бензин
руль слева, 80 000 км
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//4/b/a/4ba98912fb1bf8573bdc0dae1787534f_240x180.jpg,"$17900

1517920сом","2015 г., 2.5 л., вариатор
седан, гибрид
руль слева, 138 000 км
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//a/3/e/a3e596448665743a71991fe457bbacfc_240x180.jpg,"$11500

975200сом","2010 г., 2.4 л., вариатор
седан, гибрид
руль слева
Ош
   "
ToyotaHighlander,https://im.mashina.kg/tachka/images//9/d/2/9d26d8e84046cf47f1b3d01d88d7378b_240x180.jpg,"$9300

788640сом","2003 г., 3 л., автомат
внедорожник 5 дв., бензин
руль слева
Ош
   "
ToyotaLandCruiser,https://im.mashina.kg/tachka/images//2/a/a/2aa274d3f691785e5f6769b91455177a_240x180.jpg,"$65000

5512000сом","2016 г., 4.6 л., автомат
внедорожник 5 дв., бензин
руль слева, 88 000 км
Ош
   "
ToyotaRAV4,https://im.mashina.kg/tachka/images//f/e/5/fe56b550b3de09764e7e3e997ad78c3c_240x180.jpg,"$40900

3468320сом","2021 г., 2 л., вариатор
внедорожник, бензин
руль слева
Ош
   "
ToyotaCorolla,https://im.mashina.kg/tachka/images//2/0/9/209c7bb68270da8988c16ebcf31aee6c_240x180.jpg,"$26400

2238720сом","2021 г., 1.6 л., вариатор
седан, бензин
руль слева
Ош
   "
Toyota4Runner,https://im.mashina.kg/tachka/images//7/d/2/7d261b33783ece0075370c62b1841002_240x180.jpg,"$14000

1187200сом","2003 г., 4.7 л., автомат
внедорожник 5 дв., бензин
руль слева, 200 000 км
Ош
   "
ToyotaAvensis,https://im.mashina.kg/tachka/images//4/1/2/4125e86e85e73aa786ebece47a41883f_240x180.jpg,"$4599

390000сом","2001 г., 1.8 л., механика
универсал, бензин
руль слева
Ош
   "
ToyotaCrown,https://im.mashina.kg/tachka/images//e/0/2/e02b9005a1b958572b90a878e61167c9_240x180.jpg,"$10500

890400сом","2007 г., 3.5 л., автомат
седан, бензин
руль справа, 151 000 км
Кара-С"
ToyotaLandCruiser,https://im.mashina.kg/tachka/images//3/b/a/3ba491f4cb1e8256f02777627a0ff744_240x180.jpg,"$9080

770000сом","2001 г., 4.5 л., автомат
внедорожник 5 дв., бензин
руль слева, 240 000 км
Ош
   "
ToyotaCorolla,https://im.mashina.kg/tachka/images//7/b/5/7b57fc27412ac6b09311ddb750bcff3e_240x180.jpg,"$7500

636000сом","2006 г., 1.6 л., автомат
универсал, бензин
руль слева
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//6/1/a/61a973738473652d1b115ad52e78c4dc_240x180.jpg,"$8200

695360сом","2003 г., 2.4 л., автомат
седан, бензин
руль слева, 262 000 км
Ош
   "
ToyotaAllex,https://im.mashina.kg/tachka/images//c/2/d/c2d21a4dbeb287f069e8ba39529ad88a_240x180.jpg,"$5896

500000сом","2003 г., 1.5 л., автомат
хэтчбек 5 дв., бензин
руль справа, 255 000 км
Ош
   "
ToyotaAvensis,https://im.mashina.kg/tachka/images//f/1/8/f182bfc6ec0fa2b4f8b8cbec803e6e4a_240x180.jpg,"$3066

260000сом","2000 г., 1.6 л., механика
седан, бензин
руль слева
Кара-С"
ToyotaCamry,https://im.mashina.kg/tachka/images//e/b/0/eb064654a9836ca52980a822f4b6720e_240x180.jpg,"$27000

2289600сом","2019 г., 2.5 л., вариатор
седан, гибрид
руль слева, 15 800 км
Ош
   "
ToyotaHarrier,https://im.mashina.kg/tachka/images//0/0/3/003a5fd233c645041812eb08d741921b_240x180.jpg,"$10800

915840сом","2003 г., 3 л., автомат
внедорожник 5 дв., бензин
руль справа, 179 000 км
Ош
   "
ToyotaCrown,https://im.mashina.kg/tachka/images//b/0/4/b04ac5da3df26337e0ef53e5c618184f_240x180.jpg,"$8800

746240сом","2004 г., 3 л., автомат
седан, бензин
руль справа, 95 350 км
Ош
   "
ToyotaAvensis,https://im.mashina.kg/tachka/images//1/4/3/143f1ad3d1cc82c31eb4d50a0dc3b88b_240x180.jpg,"$3184

270000сом","2000 г., 2 л., механика
седан, бензин
руль слева, 315 245 км
Ош
   "
ToyotaWish,https://im.mashina.kg/tachka/images//4/3/c/43cc1dcccb3f1c5da42808d55fd2ec89_240x180.jpg,"$6000

508800сом","2005 г., 2 л., вариатор
минивэн, бензин
руль справа, 200 000 км
Ош
   "
ToyotaCorolla,https://im.mashina.kg/tachka/images//8/1/f/81fcea8d9fccf3ff90bc2421226f1520_240x180.jpg,"$7300

619040сом","2006 г., 1.6 л., автомат
седан, бензин
руль слева, 212 000 км
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//f/c/c/fcc2ab73ba3bab9c3a707835f08d55cf_240x180.jpg,"$8200

695360сом","2003 г., 3 л., автомат
седан, бензин
руль слева, 200 000 км
Ош
   "
ToyotaAvensisVerso,https://im.mashina.kg/tachka/images//3/0/0/30004c5d6bf0205f773dba0905079fee_240x180.jpg,"$6800

576640сом","2001 г., 2 л., автомат
минивэн, бензин
руль слева, 270 000 км
Узген
"
ToyotaISis,https://im.mashina.kg/tachka/images//d/3/7/d37140e564b5ce2b1ef4cd67d7003775_240x180.jpg,"$7500

636000сом","2006 г., 2 л., вариатор
минивэн, бензин
руль справа, 167 000 км
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//2/e/0/2e0bf113cabf710964b7c8d73708e9e0_240x180.jpg,"$8200

695360сом","2004 г., 2.4 л., автомат
седан, бензин
руль слева, 300 000 км
Узген
"
ToyotaCorolla,https://im.mashina.kg/tachka/images//8/7/f/87f1db2c79f3f71f97add4228ee4bd05_240x180.jpg,"$6700

568160сом","2006 г., 1.8 л., автомат
седан, бензин
руль слева, 260 000 км
Ош
   "
ToyotaCrown,https://im.mashina.kg/tachka/images//d/7/0/d70c80838bff18e6ccb76dab4ff2119e_240x180.jpg,"$7600

644480сом","2004 г., 3 л., автомат
седан, бензин
руль слева, 185 000 км
Ош
   "
ToyotaMarkX,https://im.mashina.kg/tachka/images//b/9/6/b969808718ee27326138812d1011742c_240x180.jpg,"$6000

508800сом","2007 г., 3 л., автомат
седан, бензин
руль справа, 153 000 км
Ош
   "
Toyota4Runner,https://im.mashina.kg/tachka/images//8/d/b/8db8ceed2c7e2b8050a9aa032b78140a_240x180.jpg,"$19700

1670560сом","2008 г., 4 л., автомат
внедорожник 5 дв., бензин
руль слева, 210 000 км
Ош
   "
ToyotaCorolla,https://im.mashina.kg/tachka/images//c/0/0/c00b06b2330007a7c17b748f0769a7ba_240x180.jpg,"$7000

593600сом","2007 г., 1.6 л., робот
седан, бензин
руль слева, 232 000 км
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//c/f/8/cf8783945070fbc8788674f442172f9e_240x180.jpg,"$5307

450000сом","2003 г., 2.4 л., механика
седан, бензин
руль слева, 263 000 км
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//e/0/6/e06f1475310d475814f2495f44853737_240x180.jpg,"$13000

1102400сом","2013 г., 2.5 л., автомат
седан, бензин
руль слева, 94 000 км
Ош
   "
ToyotaCorolla,https://im.mashina.kg/tachka/images//8/9/5/8956e5f30a1b66971a180f0de15aea2c_240x180.jpg,"$4717

400000сом","2003 г., 1.6 л., механика
седан, бензин
руль слева
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//f/7/3/f738c3a6af1acc77eb5afd14018037a3_240x180.jpg,"$10800

915840сом","2011 г., 2.5 л., автомат
седан, бензин
руль слева, 126 000 км
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//7/1/2/71219610889fc0639a432acf45584353_240x180.jpg,"$8499

720715сом","2004 г., 2.4 л., автомат
седан, бензин
руль справа, 146 000 км
Ош
   "
ToyotaAltezza,https://im.mashina.kg/tachka/images//a/d/4/ad4995990012da14e871aaf6bc7b8a0a_240x180.jpg,"$5189

440000сом","2002 г., 2 л., автомат
седан, бензин
руль справа, 250 000 км
Ош
   "
ToyotaCamry(Japan),https://im.mashina.kg/tachka/images//1/2/7/1271a1c90faadcb57021a7402e276a62_240x180.jpg,"$8499

720715сом","2004 г., 2.4 л., автомат
седан, бензин
руль справа, 147 000 км
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//f/2/0/f20b43ce7fd8764228559fc5064d5f05_240x180.jpg,"$10000

848000сом","2009 г., 2.5 л., автомат
седан, бензин
руль слева, 113 500 км
Ош
   "
ToyotaHiluxSurf,https://im.mashina.kg/tachka/images//6/6/b/66b07d08d06c23d42e9a69d146edc265_240x180.jpg,"$6300

534240сом","1998 г., 2.7 л., автомат
внедорожник 5 дв., бензин
руль слева, 200 000 км
Ош
   "
ToyotaMarkII,https://im.mashina.kg/tachka/images//f/4/8/f4825dda6172b67fd054718913d3a15c_240x180.jpg,"$5000

424000сом","2002 г., 2.5 л., автомат
седан, бензин
руль справа
Ош
   "
ToyotaAllion,https://im.mashina.kg/tachka/images//d/8/c/d8c1a7a9855d31939a20558d358ff3de_240x180.jpg,"$6600

559680сом","2002 г., 1.8 л., автомат
седан, бензин
руль справа, 250 101 км
Ош
   "
ToyotaCrown,https://im.mashina.kg/tachka/images//5/3/4/5345c15a202b59ec8b608491a7dfd0d1_240x180.jpg,"$9000

763200сом","2005 г., 3 л., автомат
седан, бензин
руль справа, 127 000 км
Ош
   "
ToyotaCorolla,https://im.mashina.kg/tachka/images//0/5/1/0511b9921b380489d4c0f6ab8b03cf11_240x180.jpg,"$5495

466000сом","2003 г., 1.6 л., механика
седан, бензин
руль слева
Ош
   "
ToyotaHarrier,https://im.mashina.kg/tachka/images//2/e/0/2e0f91a5137483c3b62b88cf6e657c16_240x180.jpg,"$14500

1229600сом","2006 г., 3.5 л., автомат
внедорожник 5 дв., бензин
руль справа, 145 000 км
Узген
"
ToyotaWindom,https://im.mashina.kg/tachka/images//8/c/c/8cc6f3997a8158ecb5b2ede1643dc589_240x180.jpg,"$7800

661440сом","2004 г., 3 л., автомат
седан, бензин
руль справа
Ош
   "
Toyota4Runner,https://im.mashina.kg/tachka/images//2/6/b/26b181a9aa1654f99973a8a8fe0ba6e4_240x180.jpg,"$14500

1229600сом","2004 г., 4 л., автомат
внедорожник 5 дв., бензин
руль слева
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//b/d/d/bddffe4295239dbe1cba600bfd0adc43_240x180.jpg,"$8800

746240сом","2004 г., 2.4 л., автомат
седан, бензин
руль слева
Ош
   "
ToyotaAvensis,https://im.mashina.kg/tachka/images//b/1/6/b1608eb7d0b5cf29056bb1546d25e758_240x180.jpg,"$4127

350000сом","2000 г., 1.8 л., механика
седан, бензин
руль слева, 400 000 км
Ош
   "
ToyotaCorollaSpacio,https://im.mashina.kg/tachka/images//8/c/f/8cf3863676c285dedef0944ef6f77518_240x180.jpg,"$4300

364640сом","1998 г., 1.8 л., автомат
минивэн, бензин
руль справа, 233 000 км
Ош
   "
Toyota4Runner,https://im.mashina.kg/tachka/images//e/5/0/e50425d1882cc16384838cf3dd3c529e_240x180.jpg,"$25000

2120000сом","2010 г., 4 л., автомат
внедорожник 5 дв., бензин
руль слева, 132 000 км
Ош
   "
ToyotaAlphard,https://im.mashina.kg/tachka/images//b/e/a/beaf6bddadf0aa1c71eb251fc2d61901_240x180.jpg,"$16000

1356800сом","2008 г., 3 л., автомат
минивэн, бензин
руль слева
Ош
   "
ToyotaCorollaVerso,https://im.mashina.kg/tachka/images//2/9/0/2904f9b97b9482319cbd99f0bd1615c0_240x180.jpg,"$6000

508800сом","2002 г., 1.8 л., механика
минивэн, бензин
руль слева, 150 000 км
Ош
   "
ToyotaAvensis,https://im.mashina.kg/tachka/images//6/8/b/68b034fe6fc984736956e5c84481fe40_240x180.jpg,"$4245

360000сом","2001 г., 1.8 л., механика
седан, бензин
руль слева, 248 102 км
Ош
   "
ToyotaCorolla,https://im.mashina.kg/tachka/images//9/c/b/9cb1620476ab45f1af22e14054d1436f_240x180.jpg,"$6500

551200сом","2004 г., 1.6 л., автомат
универсал, бензин
руль слева, 211 000 км
Узген
"
ToyotaCrown,https://im.mashina.kg/tachka/images//7/4/2/742f6954d915e126647dcf13d9f957d3_240x180.jpg,"$8500

720800сом","2004 г., 3 л., автомат
седан, бензин
руль справа
Узген
"
ToyotaAvensis,https://im.mashina.kg/tachka/images//d/6/7/d67603e9b3c36739cceced0c1ba7f2f8_240x180.jpg,"$3655

309944сом","2001 г., 1.6 л., механика
седан, бензин
руль слева
Ош
   "
ToyotaCorollaVerso,https://im.mashina.kg/tachka/images//8/f/0/8f019a23dda424522a7818237319171a_240x180.jpg,"$6000

508800сом","2002 г., 1.8 л., механика
минивэн, бензин
руль слева, 350 000 км
Кара-К"
ToyotaCorolla,https://im.mashina.kg/tachka/images//8/3/f/83fe639fa6224303dc8d686df0449e97_240x180.jpg,"$5896

500000сом","2004 г., 1.8 л., автомат
седан, бензин
руль слева, 200 000 км
Ош
   "
ToyotaYaris,https://im.mashina.kg/tachka/images//c/d/4/cd4c1bcafdfeb389db911525369f90b1_240x180.jpg,"$3125

265000сом","1999 г., 1 л., механика
хэтчбек 5 дв., бензин
руль слева
Ош
   "
ToyotaWindom,https://im.mashina.kg/tachka/images//8/e/b/8eb4babcc7243e7d09906b1cdd28cae2_240x180.jpg,"$7500

636000сом","2002 г., 3 л., автомат
седан, бензин
руль слева, 250 000 км
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//a/2/a/a2aae5655847f24fd08e7f129632dfe0_240x180.jpg,"$5896

500000сом","2002 г., 2.4 л., механика
седан, бензин
руль слева, 134 000 км
Ош
   "
ToyotaAvensis,https://im.mashina.kg/tachka/images//6/3/1/6317f732f8ea05463eff68e7abc215e9_240x180.jpg,"$3100

262880сом","1999 г., 1.6 л., механика
седан, бензин
руль слева, 321 000 км
Ноокат"
ToyotaIpsum,https://im.mashina.kg/tachka/images//f/3/7/f37cc1ee6aef3b1659ca62560420965f_240x180.jpg,"$3361

285000сом","1997 г., 2 л., автомат
минивэн, бензин
руль справа, 320 000 км
Ош
   "
ToyotaCamry(Japan),https://im.mashina.kg/tachka/images//8/f/7/8f7eed2f8157d06e854df4e5403e8da0_240x180.jpg,"$7075

600000сом","2002 г., 2.4 л., автомат
седан, бензин
руль справа, 285 227 км
Узген
"
Toyota4Runner,https://im.mashina.kg/tachka/images//f/c/f/fcf75368d3c17a27606c09ac2a6153ff_240x180.jpg,"$22000

1865600сом","2008 г., 4 л., автомат
внедорожник 5 дв., бензин
руль слева
Ош
   "
ToyotaAuris,https://im.mashina.kg/tachka/images//d/2/5/d250fbbf86f8b6a7e25f9082fdd16fc2_240x180.jpg,"$7200

610560сом","2008 г., 1.4 л., механика
хэтчбек 5 дв., бензин
руль слева
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//2/e/e/2eed0ce09beb823b27b3de907a5db05e_240x180.jpg,"$16500

1399200сом","2015 г., 2.5 л., вариатор
седан, гибрид
руль слева, 122 000 км
Ош
   "
ToyotaRAV4,https://im.mashina.kg/tachka/images//5/4/b/54bee0341ed0bbee3e2a7afa8a165e8d_240x180.jpg,"$21800

1848640сом","2014 г., 2.5 л., автомат
внедорожник 5 дв., бензин
руль слева, 85 193 км
Ош
   "
ToyotaAvensis,https://im.mashina.kg/tachka/images//c/2/7/c275111fdaa5439a8bc3c44827ac4310_240x180.jpg,"$3538

300000сом","2000 г., 1.6 л., механика
универсал, бензин
руль слева
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//b/f/1/bf15c456374bf7b957da33a2ae6a1b4a_240x180.jpg,"$8500

720800сом","2004 г., 3 л., автомат
седан, бензин
руль слева, 280 000 км
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//e/5/8/e589b6f891132749693b873203b97f6d_240x180.jpg,"$8300

703840сом","2004 г., 2.4 л., автомат
седан, бензин
руль слева, 290 000 км
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//8/d/4/8d408363211ee23d54eea09161e56bc4_240x180.jpg,"$9500

805600сом","2004 г., 2.4 л., автомат
седан, бензин
руль справа
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//5/1/a/51a26ab84a3cf6c170f68c8c7eea0ee0_240x180.jpg,"$8500

720800сом","2004 г., 3 л., автомат
седан, бензин
руль слева
Ош
   "
ToyotaWish,https://im.mashina.kg/tachka/images//e/6/7/e67fb02a93f642c5677d4207f11b1f69_240x180.jpg,"$7000

593600сом","2003 г., 1.8 л., автомат
минивэн, бензин
руль справа
Ош
   "
